CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,422,-3,3,-,"3,494.55",428.15,300,"3,472.35","3,515.45",150,"20,350.00","1,200",2.05,2.20,"4,500",-0.40,2.20,45.12,"93,513","3,958","35,869",
,260,2,3,-,"3,427.85",410.90,300,"3,431.10","3,463.95",300,"20,400.00","2,325",2.05,2.10,"4,725",-0.50,2.10,44.27,"64,325","4,702","32,015",
,315,-1,1,-,"3,387.10",423.40,300,"3,380.05","3,417.95",225,"20,450.00",450,2.00,2.20,225,-0.55,2.20,43.88,"9,101",774,"2,431",
,"7,685",-754,"1,544",-,"3,339.95",425.15,75,"3,335.35","3,348.25",75,"20,500.00","13,575",2.00,2.10,"1,800",-0.95,2.00,42.81,"1,05,243","11,166","55,119",
,10,-,-,-,"2,770.10",-,"1,725","3,032.30","3,406.70","1,725","20,550.00",975,2.10,2.40,"1,575",-0.65,2.40,43.06,"5,294",730,"1,107",
,155,-,1,-,"3,239.20",423.25,300,"3,230.50","3,265.15",225,"20,600.00",900,2.00,3.40,150,-1.15,2.00,41.59,"6,064",15,"1,676",
,6,1,1,-,"3,206.25",530.30,750,"3,139.60","3,253.90",750,"20,650.00",75,2.10,2.35,375,-1.25,2.00,40.98,"3,588",-53,436,
,8,-,-,-,"2,623.80",-,75,"3,098.50","3,275.90","1,725","20,700.00",225,2.40,2.45,150,-1.05,2.40,41.19,"17,152","1,308","4,619",
,9,1,1,-,"3,107.25",503.30,750,"3,041.05","3,158.15",750,"20,750.00",900,2.05,4.40,75,-1.15,2.35,40.48,"2,565",142,632,
,209,5,6,-,"3,027.30",408.40,150,"3,016.00","3,065.65",150,"20,800.00","6,825",2.30,3.90,375,-1.55,2.30,39.76,"27,067",336,"10,044",
,14,1,1,-,"3,003.45",508.60,750,"2,938.40","3,055.55",750,"20,850.00",900,2.05,5.20,"1,500",-1.95,2.00,38.54,"13,885","3,057","3,537",
,14,1,2,-,"2,945.20",492.60,150,"2,927.90","2,969.70",75,"20,900.00",975,2.00,3.00,"1,500",-2.05,2.05,38.04,"19,119","2,215","4,452",
,21,2,2,-,"2,901.15",917.35,"1,725","2,656.05","2,957.90","1,725","20,950.00","1,800",2.25,3.65,450,-2.00,2.30,37.92,"3,835",55,569,
